txt,words,title,summery,summery_word,similarity,label,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",언바운드 UNBOUND,★2020 구글 아시아태평양 BEST 롤모델 팀리더 ★로봇공학자 데니스 홍 야나두 대표 김민철 세바시 대표PD 구범준 강력 추천! “속도의 시대 구글러들은 어떻게 일하고 무엇을 준비하는가”구글 커스터머 솔루션 매니저 조용민이 말하는 틀에 얽매이지 않는 사람들의 생존 전략 독창적 아이디어 대담한 성장법미래를 예측하는 것보다 더 효과적으로 미래를 대비할 수 있는 방법이 있을까? 어떻게 해야 변화의 물결에 휩쓸리지 않고 나만의 경쟁력을 갖출 수 있을까? 지속가능한 성장을 이루려면 무엇을 해야 할까? 인공지능이 인간의 일을 대체하고 있고 기술의 혁신 주기는 점점 짧아지고 있다. 급변하는 상황 속에서 우리는 지금처럼 일해도 좋을지 오랫동안 재미있게 일하려면 무엇이 필요한지 나만의 경쟁력을 어떻게 만들어야 하는지 등 풀리지 않는 고민을 안고 살아가고 있다. 이 모든 고민에 구글 매니저 조용민은 단순하고 명쾌한 답을 제시한다. “언바운드(UNBOUND)하라!” 내가 가진 생각의 속박 습관적인 사고의 틀을 과감히 깨고 나 자신과 세상을 다시 바라보라는 것이다. 관점을 달리하면 지금 내게 닥친 문제가 ‘위기’가 아닌 ‘기회’로 보인다는 것.  구글 커스터머 솔루션팀에서 글로벌 기업들과 파트너십을 진행하며 다양한 디지털 마케팅 프로젝트를 성공시킨 조용민 매니저는 그간 기업들의 생존 전략 기저에 있는 혁신 동력 대담한 성장법 독창적 아이디어를 직접 보고 터득해왔다. 《언바운드》는 그런 저자가 일하면서 배우고 공부하고 깨달은 모든 것을 가감 없이 담아냈다. 책에 소개된 수많은 사례를 통해 세계 최고의 성공 신화를 만들어가고 있는 구글러들의 ‘문제를 해결하는 생각법’ ‘지속가능한 성장을 위한 공부법’ ‘목표를 이루게 하는 습관’ 등을 생생하게 엿볼 수 있다. 속도의 시대에 나만의 결정적 차이를 만드는 열쇠는 무엇인지 어떻게 하면 내 업무를 탁월한 성과로 연결해낼 것인지 자신의 한계를 뛰어넘어 지속적인 성장을 이루는 사람들은 무엇이 다른지 등 불확실한 미래를 확신으로 바꿔줄 최고의 인사이트를 얻게 될 것이다.,"['해결', '리더', '문제', '롤모델', '로봇공학자', '구글']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",행복도 선택이다,마음을 바꾸면 인생도 달라진다!『실행이 답이다』『끌리는 사람은 1%가 다르다』를 통해 많은 독자들의 사랑을 받아온 이민규 교수가 이제 인간관계와 성공을 뛰어넘어 우리에게 진정한 “행복”의 의미에 대해 알려준다. 저자는 이 책을 통해 인생의 행복은 결국 우리의 선택에 의해 좌우된다고 주장한다. 그는 행복해지기 위해서 버려야 할 부정적인 사고태도 꼭 갖춰야 할 긍정적인 사고방식 그리고 긍정적인 사고를 행동으로 실천하는 데 도움이 되는 적극적인 시도에 이르기까지 다양한 사례와 연구 결과를 통해 그동안 우리가 알고는 있었지만 실행으로 옮기지 못했던 문제들을 자연스럽게 해결해나갈 수 있도록 돕는다. 우리 모두가 간절히 원하지만 방법을 알지 못해 가질 수 없었던 행복을 얻을 수 있는 실천적인 방법론을 제시하는 이 책은 불행과 행복의 갈림길에 선 사람들에게 쉽고 유용한 지침서가 될 것이다.,"['불행', '행복', '자연', '문제', '해결', '갈림길']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",된다! 최반장의 실무 엑셀 with 피벗 테이블,데이터 분석의 90%는 피벗으로 끝난다!엉망으로 저장된 데이터 정돈부터 설득력 있는 보고서 작성까지!88개 무료 동영상 강의와 함께 배워 보세요~데이터를 다루는 사람이라면 혹은 회사에서 엑셀을 다루는 사람이라면 한 번쯤 이런 생각이 들 것이다. “이 무의미하고 귀찮고 반복되는 일을 쉽게 처리할 방법이 없을까?” 바로 그 해결 방법이 ‘피벗 테이블’이다. 피벗 테이블만 잘해도 회사 문제의 90%는 해결할 수 있다. 『된다! 최반장의 실무 엑셀 with 피벗 테이블』은 이러한 문제 인식에서 시작한다. 인프런의 ‘최반장의 피벗 테이블 마스터 클래스’와 ‘EXCEL 입문’ 강의에서 추천 1위 누적 수강생 2만 명을 달성한 ‘최반장’이 이런 고민을 해결해 준다. 엉망으로 저장된 데이터를 정리하는 데이터 전처리 방법부터 피벗 테이블을 만들고 관리하는 요령 데이터를 차트와 그래프로 만들고 보고서와 대시보드까지 활용하는 일련의 과정을 친절하게 설명한다. 12년간 팀장으로 일하며 팀원에게 엑셀을 알려 주는 마음으로 이 책을 집필했다. 엑셀 실무의 최전선에서 쌓아 온 저자만의 노하우가 담겨 있는 것도 이 책의 특징이다. 그리고 책의 실습 부분에 QR코드를 넣어 무료 강의와 함께 볼 수 있게 만들었다. 무려 88개나 된다. 무료 동영상 강의와 함께 책을 읽는다면 당신이 마주한 엑셀 실무 문제의 90%는 이미 해결된 것이다!,"['코드', '회사', '문제', '강의', '무료', '해결']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",머신러닝 디자인 패턴,데이터 준비 모델 구축 MLOps의 일반적인 문제에 대한 솔루션 구현하기디자인 패턴이란 전문가 수백 명의 경험을 간단하고 접근하기 쉽게 체계화한 것이다. 이 책에는 데이터의 표현 운영 반복성 재현성 유연성 설명 가능성 공정성에 대한 30가지 디자인 패턴이 담겨 있다. 각 패턴에는 문제에 대한 설명 다양한 잠재적 솔루션 상황에 적합한 기술 노하우가 포함되어 있다. 머신러닝 프로세스 전반에 걸쳐 마주하는 일반적인 문제를 해결하고 싶은 실무자라면 저명한 3명의 구글 엔지니어가 이 책에서 분류한 ‘이미 입증된 방법’을 배우고 실천해보자.,"['엔지니어', '일반', '문제', '분류', '해결', '구글']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",텐서플로 2와 머신러닝으로 시작하는 자연어 처리,텐서플로 2와 BERT GPT를 활용해 구현한 한국어 자연어 처리 모델의 성능을 한층 끌어올리는 퓨샷 러닝과 피-튜닝 기법을 추가했다!이 책은 다른 자연어 처리 서적과는 다른 세 가지 특징이 있다. 첫째 자연어 처리에 활용되는 개념적인 설명에서 끝나는 것이 아니라 모델 구현에 집중한다. 둘째 실무에서 자연어 처리 문제를 해결하는 데 도움이 되고자 감정분석부터 유사도 처리 챗봇 그리고 버트와 GPT에서 할 수 있는 모든 하위 문제를 다룹니다. 셋째 영어 데이터뿐만 아니라 한글 데이터를 활용한 문제 해결까지 다룬다.또한 두 차례의 개정을 통해 다양한 자연어 처리 문제를 사전학습 모델인 버트와 GPT2를 통해 푸는 법과 GPT3에 대한 소개도 추가했다. 새롭게 추가된 8장까지의 모든 실습을 수행하고 나면 한층 더 높은 수준의 최신 자연어 처리 기법을 이해할 수 있다. 실습을 통해 자연어 처리를 다룰 자신감이 생겼다면 여러분은 이미 딥러닝 자연어 처리 전문가로서의 첫발을 내디딘 것이다.,"['처리', '문제', '또한', '챗봇', '해결', '유사']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",문제 해결력을 높이는 알고리즘과 자료 구조,알고리즘 문제의 답을 스스로 생각하는 코딩 테스트와 프로그래밍 경진대회 전 필독서!이 책은 알고리즘 입문서이자 + 응용력 문제 해결력을 높여주는 알고리즘 활용서다. 궁극적으로 알고리즘을 잘 다룰 수 있게 실력을 키우는 것을 목표로 한다. 우선 알고리즘에 대해 전혀 모르는 사람이 알고리즘의 전반적인 모습을 체계적으로 인식하고 필요한 기초 개념과 기본적인 알고리즘을 배울 수 있다. 알고리즘을 설명할 때는 유명한 알고리즘을 단순히 소개하는 것이 아니라 어떻게 설계되었는지 설계 기법과 설계 과정 응용 방법과 사례도 함께 설명한다. 또한 다양한 상황에서 알고리즘을 사용해 문제를 해결할 수 있도록 알고리즘을 설계할 때 필요한 지식과 접근법을 설명한다. 목표는 알고리즘의 동작을 구체적으로 이해하고 실제 문제 해결에 사용하는 것이며 알고리즘을 단순히 아는 것을 넘어서 잘 다루는 것이다. 우리는 알고리즘을 사용해 주어진 문제를 잘 풀기도 하고 내가 직접 설계도 하고 더 효율적으로 개선할 수도 있어야 한다. 이 책은 이를 위해 필요한 방법과 지식을 학습한다.,"['코딩', '알고리즘', '문제', '프로그래밍', '테스트', '해결']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",모두의 알고리즘 with 파이썬,4차 산업혁명이 가져올 일자리와 삶의 변화그 중심에 있는 알고리즘을 배워 보자!인공지능이 일자리를 대체하는 시대가 되면서 코딩 교육과 컴퓨팅 사고의 중요성이 나날이 커지고 있다. 그리고 그 중심에는 ‘알고리즘’이 있다. 도대체 알고리즘이란 무엇이며 왜 배워야 할까?『모두의 알고리즘 with 파이썬』은 중요하지만 어려운 주제인 알고리즘을 초보자와 비전공자가 배울 수 있게 최대한 전문 용어와 복잡한 수학을 사용하지 않고 설명한다. 또한 간단한 문제를 풀면서 기초 알고리즘을 설명하기 때문에 쉽게 이해할 수 있다. 그동안 알고리즘을 배우고 싶었지만 어려워서 주저했던 사람이라면 이 책을 통해 알고리즘이 무엇이며 어디에 어떻게 사용하는 것인지 감을 잡을 수 있을 것이다.,"['코딩', '문제', '알고리즘', '컴퓨팅', '교육', '기초']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",이기적 SW코딩자격 2급 스크래치,본 도서는 한국생산성본부에서 시행하는 SW코딩자격 2급 스크래치 버전 시험을 준비하는 분들이 효과적으로 시험에 대비할 수 있도록 구성된 도서다. SW코딩자격 2급의 출제 기준과 공개 문제를 자세히 분석하여 문제 해결과 알고리즘 설계에 관한 이론 스크래치 핵심 기능 그리고 시험에서 자주 출제될 기능에 관한 자세한 설명을 수록하였다. 또한 실전과 동일 문제를 체험할 수 있도록 기출 유형 문제 8회분을 수록하였다. 기출 유형 문제 8회분에 수록되어 있는 다양 문제를 풀어보면 자연스레 실제 시험에서 출제될 다양한 유형의 문제에 익숙해질 수 있을 것이다. 도서의 자세한 설명 외에도 스크래치 코딩 풀이 부분을 쉽게 따라 할 수 있도록 무료 동영상을 제공하므로 초심자도 영상을 통해 스크래치 코딩을 쉽게 따라할 수 있을 것이다. 자세한 설명과 다양한 문제를 제공하는 『이기적 SW코딩자격 2급 스크래치』 도서로 알차게 합격하자.,"['시험', '자주', '알고리즘', '문제', '출제', '해결']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']","파이썬, 알고리즘, 객체지향, 코딩의 기술",파이썬 문법 알고리즘 객체지향 코딩의 기술을 한권으로 배울 수 있다. 문법 떼고 알고리즘 책 보고 객체지향 등을 따로 공부해야 하는 불편함을 없앴다. 셀프 스터디(Self Study)로 코딩을 공부하려는 학생을 위해 친절하게 설명하다 보니 글과 그림이 많은 책이다. 읽고 생각하고 그림으로 이해하고 코드를 만들어보며 문제 해결이라는 코딩의 목적에 맞게 파이썬을 배울 수 있다.,"['코드', '공부', '스터디', '코딩', '문제', '해결']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",생활코딩! 파이썬,생활코딩은 일반인에게 프로그래밍을 교육하기 위한 목적의 비영리 프로젝트이다. 『생활코딩! 파이썬』은 생활코딩에서 제공하는 파이썬 강좌를 정리하여 다듬은 책으로 심도 있는 실습을 위해 생활코딩에는 없는 실습 챌린지를 포함하고 있다.,"['위해', '목적', '실습', '프로그래밍', '생활코딩', '교육']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",으뜸 파이썬,첫째 파이썬의 기초를 익히고자 하는 초급자들이 쉽게 코딩의 원리를 이해하도록 돕기 위해 짧은 코드는 대화창에서 그 기능을 보여주며 다소 긴 코드는 스크립트 파일로 제공한다.둘째 각 절의 마지막에는 LAB 문제를 넣어서 각 절에서 이해한 내용을 실습을 통해서 다시 확인할 수 있도록 하였다.셋째 각 장의 마지막에는 단계별 연습문제를 제공하여 한 번 더 본문의 내용과 관련된 깊이있는 문제를 해결하며 프로그래밍의 즐거움을 느낄 수 있도록 하였다.넷째 파이썬의 고급 개발자로 발돋움 할 수 있는 다양한 모듈 사용법과 리스트 축약표현 등에 대한 깊이 있는 설명과 고급 문제를 제공하였다.다섯째 기계 학습 교과목을 익히는데 필수적인 넘파이를 기초부터 익힐 수 있도록 하였다. 독자 여러분은 넘파이의 가장 핵심인 다차원 배열과 선형방정식에 대한 핵심적인 내용을 익히게 됨으로서 넘파이의 구조를 깊이 있게 알 수 있을 것이다.여섯째 이 책의 분량 때문에 다루지 못한 파이참 개발환경의 설치와 구글 colab 환경의 개발 방식은 출판사 웹 사이트에서 제공하는 부록 pdf 파일을 다운받아서 활용할 수 있다.마지막으로 저자는 유튜브 강좌 “널널한 교수의 기초 파이썬”이외에도 “널널한 교수의 고급 파이썬”에서는 이 책에서 깊이 다루지 못한 참조와 객체 동적 타이핑 등에 대해 상세히 다루고 있다. 향후 “널널한 교수의 으뜸 파이썬”이라는 강의를 통해 이 책의 내용을 동영상을 통해 설명할 예정이다.- 머리말 중에서,"['교과목', '학습', '문제', '프로그래밍', '기계', '해결']",0.182,0,,,,
박 위원은 야당 의원들이 문제를 해결하기 위해 정부와 여당에 긴급 사회적협의기구를 제안했는데 그러면 정부가 교육단체 등과 조속히 실질적 합의를 도출해야 한다고 말했다.,"['위해', '단체', '정부', '문제', '교육', '해결', '제안']",이기적 SW코딩자격 3급 스크래치,본 도서는 한국생산성본부에서 시행하는 SW코딩자격 3급 스크래치 버전 시험을 준비하는 분들이 효과적으로 시험에 대비할 수 있도록 구성된 도서다. SW코딩자격 3급의 출제 기준과 공개 문제를 자세히 분석하여 문제 해결과 알고리즘 설계에 관한 이론 스크래치 핵심 기능 그리고 시험에서 자주 출제될 기능에 관한 자세한 설명을 수록하였다. 또한 실전과 동일 문제를 체험할 수 있도록 기출 유형 문제 8회분을 수록하였다. 기출 유형 문제 8회분에 수록되어 있는 다양 문제를 풀어보면 자연스레 실제 시험에서 출제될 다양한 유형의 문제에 익숙해질 수 있을 것이다. 도서의 자세한 설명 외에도 스크래치 코딩 풀이 부분을 쉽게 따라 할 수 있도록 무료 동영상을 제공하여 초심자도 영상을 통해 스크래치 코딩을 쉽게 따라할 수 있도록 하였다. 이처럼 자세한 설명과 다양한 문제를 제공하는 『이기적 SW코딩자격 3급 스크래치』 도서로 알차게 합격하자.,"['시험', '자주', '알고리즘', '문제', '출제', '해결']",0.182,0,,,,
신 위원은 2011년도에 교부금을 지원한다는 합의를 통해 2012년부터 시작된 사업으로 교육감들에게 예산 배정해서 잘 썼고 학교 시설 수리를 많이 해서 좋았다고 했다.,"['수리', '시설', '학교', '예산', '사업', '교육감', '시작']",한국의 젊은 부자들,평균 나이 33세 연평균 매출 184억 원! 돈 경험 기술 학벌… 아무것도 없었던 그들은 어떻게 100억 대 회사를 만들었을까? 『한국의 젊은 부자들』에는 기존의 상식과 원칙으로는 상상할 수 없는 방법으로 성공의 길을 걷고 있는 젊은 부자들이 대거 등장한다. 재테크 책 한 권 안 읽고 400억 자산가가 된 청년 버핏 박철상(33) 씨 세상에 없던 시각 장애인용 스마트워치를 만들어 전 세계 2억 명 시각 장애인의 우상으로 떠오른 ‘닷’의 김주윤(27) 대표 버리는 옷감으로 옷을 만들어 300억 대 의류 회사를 만든 SYJ 김소영(27) 대표 홍익대를 중퇴하고 무작정 미국으로 건너가 건강 앱으로 미국 시장을 평정한 정세주(37) 대표 등 지극히 평범한 환경 속에서 자랐지만 어디에서도 볼 수 없는 독특한 방식으로 성공의 로켓에 올라탔다. 이들의 성공이 놀라운 이유는 ‘한번 해보자’ 하는 마음 말고는 아무것도 없는 빈손으로 시작했기 때문이다. 김밥과 컵라면으로 끼니를 떼우며 몇백만 원 많아 봐야 2000~3000만 원으로 사업을 시작했다. 지극히 평범했던 이들이 할 수 있다면 우리도 할 수 있지 않을까. 한국의 젊은 부자 61인이 내뿜는 강력한 에너지가 분명히 당신의 심장을 다시 뛰게 만들 것이다 .,"['백만', '사업', '회사', '한국', '시작', '부자']",0.182,0,,,,
김 청장은 법원행정처의 가족관계등록자료는 행정정보 공동 이용에 제한을 받고 있지만 그 외에는 병역 자원 조사를 위해 협조가 잘되고 있다고 말했다.,"['위해', '청장', '협조', '가족', '법원행정처', '관계', '조사']",그때 이렇게 말했더라면,“내가 그 일을 얼마나 후회하고 있는지 말해주고 싶어.”사과는 어떻게 우리를 더 건강한 사람으로 만드는가삶이 단단해지고 홀가분해지는 관계 회복의 말하기 수업단 한 번도 타인에게 상처받은 적 없는 사람이 있을까? 상처받지 않고 살기 어려운 만큼 상처를 주지 않고 살기도 어렵다. 살다 보면 누구나 실수나 잘못을 하고 인간관계는 아주 사소한 계기로도 쉽게 어긋나곤 한다. 35년간 남녀노소 수백 명의 고민을 상담하며 하버드대학교 등에서 관계와 행복에 대한 임상심리 연구를 진행해온 심리학자 몰리 하우스 박사가 관계와 소통 문제로 힘들어하는 이들을 위해 ‘좋은 사과(Good Apology)’ 대화법을 소개한다. ‘좋은 사과’는 단순히 잘못한 것에 대해 미안하다고 하는 행위가 아니다. 진정한 대화를 시작하는 하나의 방식이자 마음의 무거운 짐을 덜고 타인과 자신에 대해 깊이 이해하며 성장할 수 있는 성숙한 관계 맺기의 과정이다. 저자는 사과를 하는 것이 왜 중요한지 그럼에도 왜 많은 사람들이 사과하기를 어려워하는지를 생물학적?문화적?사회적으로 분석한 다음 진정한 사과와 화해의 과정을 4단계로 나눠 각 단계에서의 구체적인 소통 방법을 안내한다. 관계 맺기에 서툴러 힘들어하고 있었다면 저자의 다정하고 세심한 카운슬링이 담긴 이 책을 통해 자신을 담담히 돌아보고 용기를 얻을 수 있을 것이다. 줄곧 마음에 걸리는 사람이 있다면 이 책의 가이드를 따라 대화를 시도해보면 어떨까? 시도 자체만으로도 내적으로 한층 성숙해진 자신을 만날 수 있을 것이다.,"['위해', '하버드', '대학교', '문제', '관계', '사과']",0.182,0,,,,
김 병무청장은 사회가 바뀌고 의료기술이 발전하면서 생기는 틈새를 없애려고 경보 시스템과 신종 수법 전파 등을 최대한 노력하고 있다고 했다.,"['시스템', '경보', '발전', '기술', '틈새', '의료', '신종']",낭만을 잊은 그대에게,오늘 흔들리는 삶을 살아가고 있는 당신에게 건네는고요하면서도 따스한 희망을 간직한 위안.“당신 지금 낭만한가요?”21세기는 ‘4차 산업혁명’의 시대라 불린다. 인공지능(AI) 사물인터넷(IoT) 로봇기술 드론 자율주행차 가상현실(VR) 등이 주도하는 이 차세대 산업혁명에는 기술의 발전이 장밋빛 미래를 선사할 거라는 인류의 낙관적인 기대와 전망이 담겨 있다. 하지만 기술의 발전과 물질의 풍요가 인간적인 삶 정서적인 풍요와 정비례하지는 않는다는 건 잘 알려진 사실이다. 발전하는 기술의 혜택으로 누리는 편리함의 이면에는 그로 인해 사라지는 일자리에 대한 걱정이 존재하고 스마트폰의 유용함은 인간 대 인간 사이의 진정한 만남에 장벽이 되기도 한다. 역사상 그 어느 때보다 풍요로운 시대를 살아간다고 하지만 실제로 우리들의 마음은 팍팍하고 메마르고 불안함으로 가득하다. 물질적인 욕망을 가득 채워 브레이크 없이 질주하고 타인의 시선에 휘둘리며 유행과 대세를 따르지 않으면 뒤처진 듯 느껴지는 삶은 피곤하기만 할 뿐이다. 정서적 빈곤을 겪고 있는 오늘의 우리들에게 가장 필요한 것이 바로 ‘낭만’이라고 저자는 말한다. 영문학자 김성중 교수는 이 책에서 산업혁명을 계기로 대영제국이 확장일로를 겪었던 19세기의 상황과 4차 산업혁명으로 과학기술의 발전이 정점을 찍은 21세기의 상황을 오버랩한다. 인간 본연의 감성에 충만한 삶 자연 속에서 인간성 회복의 실마리를 찾았던 ‘낭만주의’는 19세기 급격한 산업화로 인한 인간 정서의 메마름에 대항하고자 등장한 문예사조다. 그때로부터 200여 년이 지난 지금 저자는 오늘날에도 당시 영국 낭만주의 시인들이 부르짖었던 ‘낭만과 감수성’의 회복이 절실하다고 말한다. 우리가 잊고 있던 낭만적 마음이 다시 삶에 가득해질 때 비로소 일상은 조금 더 평안하고 자유롭고 아름다워질 수 있을 것이다. “당신 지금 낭만한가요?”,"['산업혁명', '발전', '기술', '가상현실', '장밋빛', '차세대']",0.182,0,,,,
진술인 이 씨는 소년병들에 대한 예우와 보상에 대해 동감하며 국군노무단의 경우에는 포탄을 지고 갔다가 죽게 되면 전쟁에 대한 기여도는 없는 입장이라고 했다.,"['진술', '기여', '대한', '보상', '전쟁', '소년병', '지고']",제주 사람 허계생,“유대 민족은 언제 그리고 어떻게 발명되었는가?”24개국 번역 전 세계 언론과 학자들로부터 크게 주목 받은 문제작오늘날 다시 득세하는 민족주의에 대한 가장 통렬한 비판서‘민족’이란 개념은 허술하다. 혈연관계를 기반으로 오랜 세월 동안 고정된 동질 집단을 유지하기란 사실상 불가능하기 때문이다. 수많은 전쟁과 이주를 겪으면서 타 집단과 섞이지 않고 민족의 순수성을 지킨다는 것은 불가능한 꿈이다. 그래서 모든 민족국가는 하나의 민족임을 증명하기 위해 자신의 과거에 대한 신화와 조작된 역사를 창조한다. 이 신화가 길고 찬란할수록 국민을 통합된 집단으로 이끌기 쉽다.『만들어진 유대인』은 이런 신화 위에 건설된 나라 이스라엘의 역사적 진실에 깊이 다가선 책이다. “2천 년의 유랑 속에서도 끝내 살아남아 옛 고향땅을 되찾은 어느 뛰어난 민족”이라는 서사는 이스라엘의 존재 이유를 설명하는 신화다. 저자는 이 서사가 완전한 허구임을 밝힌다. 유랑은 없었고 따라서 고향땅에 남은 이들도 같은 뿌리의 사람들이라는 것이다. 그 자신 유대인이자 이스라엘인이기도 한 저자는 이런 작업을 통해 단일 종족으로서 ‘유대인’이라는 신화 단일 민족국가로서 ‘이스라엘’이라는 신화를 해체하고자 한다. ‘유대인의 나라’라는 이념이 오늘날 이스라엘의 폭력적 패권주의를 정당화하고 있음은 물론이고 이제는 오히려 반유대주의를 부채질하는 이데올로기로 작용하고 있기 때문이다.이 책의 가장 큰 의의는 ‘민족’이 그 구성원에게 든든한 정체성을 제공하는 기능뿐 아니라 동질성이라는 이름 아래 내부 불평등과 배제의 정치를 강화하는 기능을 한다는 것을 뚜렷이 보여준 데 있다. 이스라엘을 넘어 세계의 거대 유대인 권력에 도전하는 이 위험한 책이 출간 직후 24개국 언어로 번역되고 유명 언론과 학자들로부터 큰 주목을 받은 이유일 것이다.,"['때문', '대한', '가장', '전쟁', '사실', '민족주의']",0.182,0,,,,
최 진술인은 군이 국방업무 수행에 전념할 수 있도록 인권 문제와 권익 문제를 위한 효율적인 기구로서의 옴부즈맨 제도가 필요하다고 했다.,"['국방', '권익', '업무', '문제', '전념', '인권', '수행']",그리고 저 너머에,스캇 펙이 일생 동안 전념해온 카운슬링 강연 글쓰기의 정점이자 『아직도 가야 할 길』 3부작의 종결편 “죽는 순간까지 수만 번 되풀이해야 할 일 그것은 복잡한 선택의 문제다.”갈수록 스트레스와 불안이 팽배해가는 이 세상에서 풍요롭고 충족된 삶을 영위하기 위해서는 어찌해야 할까 《아직도 가야 할 길》 출간 이후 20여 년 동안 대중을 상대로 써온 글과 개인적 여정에서 한계를 넘기 힘들었던 몇 가지 주제를 한데 묶은 이 책은 그에 대한 저자의 더 깊어진 인식을 읽을 수 있다. 일터와 가정에서 매 순간 이루어지는 선택과 결정들 선과 악의 차이를 구별하고 나르시시즘을 극복하는 법 사랑하고 사랑받는 것 역설과 함께 살아가기 죽어가는 것과 죽음에 관하여 몰두해온 저자의 정선된 해답이 담겨 있다.,"['문제', '스트레스', '일생', '갈수록', '전념', '동안']",0.182,0,,,,
